ID,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,Nazwa,Język,"Jakie jest Twoje doświadczenie z techniką oświetleniową, realizacją sceny lub profesjonalną produkcją muzyczną?","Jak często bywasz na koncertach z profesjonalnym oświetleniem?
",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty),Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty),Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu),Adekwatność doboru efektów i kolorów do klimatu gatunku,"Ogólna estetyka, płynność i naturalność wizualna pokazu",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)2,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)2,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)2,Adekwatność doboru efektów i kolorów do klimatu gatunku2,"Ogólna estetyka, płynność i naturalność wizualna pokazu2",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)3,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)3,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)3,Adekwatność doboru efektów i kolorów do klimatu gatunku3,"Ogólna estetyka, płynność i naturalność wizualna pokazu3",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)4,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)4,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)4,Adekwatność doboru efektów i kolorów do klimatu gatunku4,"Ogólna estetyka, płynność i naturalność wizualna pokazu4",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)5,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)5,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)5,Adekwatność doboru efektów i kolorów do klimatu gatunku5,"Ogólna estetyka, płynność i naturalność wizualna pokazu5",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)6,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)6,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)6,Adekwatność doboru efektów i kolorów do klimatu gatunku6,"Ogólna estetyka, płynność i naturalność wizualna pokazu6","Czy zaakceptowałbyś/łabyś takie oświetlenie na prawdziwym koncercie w małym klubie?
","Dodatkowe uwagi dotyczące zachowania świateł (np. nienaturalne migotanie, wyjątkowo udane przejścia barw)"
39,2026-08-13 01:02:48,2026-08-13 01:18:11,anonymous,,English (United Kingdom)‎,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Rzadziej niż raz w roku,3,4,3,4,4,2,4,4,3,3,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,3,3,3,3,3,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,Raczej tak,I love it when all the lights synchronously change where they’re pointing.
40,2026-08-13 05:10:15,2026-08-13 05:16:44,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,4,3,3,2,3,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,Raczej tak,Dobra synchronizacja z akcentami. Za dużo mieszania ruchu i kolorów w jednym kawałku. 
41,2026-08-13 07:07:16,2026-08-13 07:15:41,anonymous,,English (United Kingdom)‎,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Kilka razy w roku,3,3,3,3,3,1 - Bardzo słabe,3,2,2,1 - Bardzo słabe,4,3,3,2,3,3,3,3,3,3,4,4,3,4,4,3,3,3,4,3,Raczej tak,
42,2026-08-13 07:10:55,2026-08-13 07:20:32,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Kilka razy w roku,4,4,3,4,4,4,3,3,2,3,3,4,4,4,4,4,4,4,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,Tak,Dwie ostatnie próbki były super - dużo się działo i oświetlenie fajnie pracowało z muzyką
43,2026-08-13 08:32:09,2026-08-13 08:45:03,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,1 - Bardzo słabe,2,1 - Bardzo słabe,2,1 - Bardzo słabe,2,2,1 - Bardzo słabe,3,2,2,3,3,2,2,1 - Bardzo słabe,1 - Bardzo słabe,2,1 - Bardzo słabe,1 - Bardzo słabe,2,3,2,3,2,2,2,2,3,2,Nie,
44,2026-08-13 08:42:15,2026-08-13 08:53:05,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,3,Raczej nie,"Brak żywości i naturalności, przez co widać brak spójności z utworem. Nie widać zbytnio zmian pomiędzy tymi filmikami jedynie parę różnic w kolorze i układzie, brakuje reakcji na konkretne fragmenty utworu. Kolorystyka to dosyć subiektywna sprawa mi np. do AC/DC bardziej czerwony pasuje."
45,2026-08-13 10:07:18,2026-08-13 10:15:10,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Kilka razy w roku,3,2,4,4,3,1 - Bardzo słabe,1 - Bardzo słabe,2,4,1 - Bardzo słabe,4,4,4,5 - Znakomite,4,3,3,3,4,4,4,4,5 - Znakomite,5 - Znakomite,4,4,4,4,4,4,Raczej tak,
46,2026-08-13 20:06:22,2026-08-13 20:19:08,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,4,2,2,3,3,1 - Bardzo słabe,2,2,2,1 - Bardzo słabe,3,3,2,3,3,4,3,3,3,3,3,3,3,3,2,4,3,3,1 - Bardzo słabe,2,Raczej tak,Chaos w efektach ruchomych oraz zbyt częsta zmiana barw w jednym utworze.
47,2026-08-13 23:47:26,2026-08-13 23:58:01,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,2,2,4,5 - Znakomite,3,1 - Bardzo słabe,4,4,5 - Znakomite,2,1 - Bardzo słabe,3,1 - Bardzo słabe,1 - Bardzo słabe,2,2,2,1 - Bardzo słabe,1 - Bardzo słabe,2,3,3,3,2,1 - Bardzo słabe,5 - Znakomite,4,4,5 - Znakomite,4,Raczej nie,"Często zmiany są w połowie miary muzycznej i wydają się spóźnione. Brakuje przewidywania w jakim kierunku zmierza utwór - czy się rozkręca, czy wycisza. "
48,2026-08-14 15:39:31,2026-08-14 15:44:34,anonymous,,Polski,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Rzadziej niż raz w roku,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,2,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,3,2,3,2,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,2,1 - Bardzo słabe,2,3,3,2,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,2,Nie,Światła nie są częścią pokazu - poruszają się (jeśli w ogóle) zupełnie oderwanie od muzyki.
49,2026-08-14 22:31:24,2026-08-14 22:58:30,anonymous,,Polski,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Kilka razy w roku,4,3,5 - Znakomite,4,4,4,4,5 - Znakomite,4,5 - Znakomite,2,4,5 - Znakomite,4,3,3,3,4,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,4,4,2,5 - Znakomite,4,Tak,"Sample 2, 4, 5, uważam, że wyszły genialnie i od razu zapragnąłem odsłuchania całej muzyki ze względu na światła co mpim zdaniem jest bardzo dobrym efektem, co do sampla 2, bardzo podobał mi się koniec i stworzenie tego ""kwiatu lotosu"" na samym środku, światła też uważam, ze idealnie dobrane do utworu, co do thunderstrucka to nie jestem osobiście przekonany, chociaż że tempo i vibe utworu oddałeś dobrze, sample 4 bardzo podobały mi się przejścia między światłami i wydaje mi się, że genialnie by się sprawiły ich ustawienia na koncercie, a co do sample 5 uważam, że bardzo dobra robota z czasowym dobraniem tego, ten moment czekania bez jakichś zmian, bardzo mi się podobał i miałem wrażenie jakby był taki idealny w tym wyczekaniu i taki moment w którym możnaby się nacieszyć chwilą i nie sądziem do tej pory, że brak zmiany w świetle może mi się aż tak podobać. Co do pozostałych, niestety, nie zapadły mi tak bardzo w pamięć jak te 4, więc chyba to znaczy, że nie były dla mnie aż tak wyśmienite, ale ten sample 5 i 2 zrobiły na mnie naprawdę ogromne wrażenie"
50,2026-08-15 14:12:31,2026-08-15 14:18:03,anonymous,,Polski,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Kilka razy w roku,3,4,4,4,4,2,2,3,3,4,3,4,4,5 - Znakomite,4,3,4,4,5 - Znakomite,4,3,3,4,4,4,4,4,4,4,5 - Znakomite,Raczej tak,"W nagraniach widać opóźnienie na niektóre zdarzenia, co jest naturalne przy pracy ""na żywo"". To co mnie osobiście wybija, to mała powtarzalność - światła potrafią inaczej się zachowywać na bliźniaczych momentach"
51,2026-08-16 02:47:44,2026-08-16 02:52:05,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Raczej tak,
52,2026-08-16 11:51:17,2026-08-16 11:56:53,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,2,3,2,3,2,2,2,1 - Bardzo słabe,2,3,3,3,2,3,2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,Raczej nie,"Dziwne i często nielogiczne momenty zmiany kolorów. Brak płynności. Przejścia ""kwadratowe"". Potencjał może to ma ale aktualnie jest to nie nadające się do wykonów na żywo"
53,2026-08-18 21:26:36,2026-08-18 21:35:58,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Kilka razy w roku,2,1 - Bardzo słabe,2,2,2,3,3,4,4,3,4,3,2,1 - Bardzo słabe,3,4,4,4,2,4,3,3,5 - Znakomite,4,4,4,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,Raczej nie,
54,2026-08-27 16:26:07,2026-08-27 16:34:28,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Kilka razy w roku,4,4,4,3,4,3,3,3,4,3,4,3,4,1 - Bardzo słabe,4,5 - Znakomite,4,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,4,4,2,3,1 - Bardzo słabe,2,Raczej tak,Wyjątkowo źle dobrane światła do AC DC 
55,2026-08-27 23:18:58,2026-08-27 23:23:33,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Rzadziej niż raz w roku,1 - Bardzo słabe,2,2,3,2,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,1 - Bardzo słabe,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,2,2,2,4,2,3,3,3,4,3,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,Tak,
56,2026-08-27 23:20:59,2026-08-27 23:26:15,anonymous,,Polski,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Kilka razy w roku,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,2,1 - Bardzo słabe,1 - Bardzo słabe,2,2,2,1 - Bardzo słabe,1 - Bardzo słabe,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,3,3,3,3,2,1 - Bardzo słabe,2,3,3,1 - Bardzo słabe,Raczej nie,"Za mało ruchu, za mało faktycznej synchronizacji z utworem. "
57,2026-08-27 23:19:31,2026-08-27 23:29:53,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Kilka razy w roku,1 - Bardzo słabe,2,2,1 - Bardzo słabe,2,2,4,4,4,3,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,3,3,4,4,3,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,Tak,
58,2026-08-27 23:24:27,2026-08-27 23:30:25,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Kilka razy w roku,4,1 - Bardzo słabe,3,4,3,4,3,4,3,4,4,5 - Znakomite,4,4,3,3,2,5 - Znakomite,4,2,4,5 - Znakomite,5 - Znakomite,4,4,4,5 - Znakomite,4,2,2,Raczej tak,
59,2026-08-27 23:25:09,2026-08-27 23:49:48,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Kilka razy w roku,2,3,3,3,2,4,4,4,5 - Znakomite,4,4,4,5 - Znakomite,4,4,4,4,4,4,4,5 - Znakomite,4,4,4,4,5 - Znakomite,4,4,5 - Znakomite,5 - Znakomite,Raczej tak,
60,2026-08-27 23:34:24,2026-08-27 23:53:25,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Kilka razy w roku,2,3,4,2,3,3,4,2,5 - Znakomite,4,2,4,4,4,3,3,4,3,4,2,3,4,5 - Znakomite,4,4,3,4,3,4,5 - Znakomite,Raczej tak,"Trochę płynność nie jest wystarczająca na samej symulacji, więc przez to faktycznie obraz może być odbierany jako nie do końca zgrywający się z rytmem, ale ogólnie jestem laikiem, więc nie do końca mam pojęcie o tym jak powinny takie symulacje wyglądać. Na pewno przyjemnie się to ogląda :) "
61,2026-08-28 00:01:11,2026-08-28 00:08:07,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Rzadziej niż raz w roku,4,3,4,3,3,4,4,4,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,3,4,4,4,4,2,4,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,Raczej tak,
62,2026-08-28 00:29:28,2026-08-28 00:39:56,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Rzadziej niż raz w roku,2,2,4,3,2,2,2,4,3,2,3,4,3,3,3,2,4,3,5 - Znakomite,3,4,3,3,2,3,2,2,2,2,2,Raczej nie,"Świetnie dobrana ścieżka muzyczna :p
Powodzenia!"
63,2026-08-28 01:00:27,2026-08-28 01:02:20,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Kilka razy w roku,3,3,4,3,3,4,3,4,3,3,4,3,3,4,4,3,3,2,3,3,4,3,5 - Znakomite,3,3,4,5 - Znakomite,4,4,5 - Znakomite,Raczej tak,
64,2026-08-28 08:00:26,2026-08-28 08:05:52,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Kilka razy w roku,2,2,3,3,4,4,4,5 - Znakomite,3,4,4,3,3,4,4,4,4,4,4,4,5 - Znakomite,3,4,3,4,4,3,4,5 - Znakomite,4,Tak,
